ANIO_PERIODO,CODIGO_UNIVERSIDAD,NOMBRE_UNIVERSIDAD,NOMBRE_FILIAL,NOMBRE_PROGRAMA,CODIGO_CLASE_CINE_N2,NOMBRE_CLASE_CINE_N2,CANTIDAD_CARNES
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAESTRIA EN GESTION DE LA INFORMACION Y DEL CONOCIMIENTO,99,POSGRADO,15
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAESTRIA EN LINGÜISTICA,99,POSGRADO,11
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAESTRIA EN SOCIOLOGIA CON MENCION EN SOCIOLOGIA DE LAS ORGANIZACIONES,99,POSGRADO,8
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MEDICINA VETERINARIA,00,SIN CLASIFICAR,384
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. ANIMALES DE COMPAÑIA,99,POSGRADO,13
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. INMUNOLOGIA CLINICA Y ALERGOLOGIA,99,POSGRADO,3
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. UROLOGIA,99,POSGRADO,1
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,SEGUNDA ESPECIALIDAD PROFESIONAL PARA OBSTETRAS,99,POSGRADO,45
2016,002,UNIV. NACIONAL SAN CRISTOBAL DE HUAMANGA,UNSCH-SEDE PRINCIPAL,AGRONOMIA,81,AGRICULTURA,512
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,[NO ESPECIFICADO],BIOLOGIA,51,CIENCIAS BIOLÓGICAS Y AFINES,1
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,[NO ESPECIFICADO],CIENCIAS ADMINISTRATIVAS,41,ADMINISTRACIÓN Y COMERCIO,1
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-ESPINAR,MEDICINA VETERINARIA,84,VETERINARIA,99
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-PUERTO MALDONADO,INGENIERIA FORESTAL,82,SILVICULTURA,127
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-QUILLABAMBA,AGRONOMIA TROPICAL,81,AGRICULTURA,366
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-SEDE PRINCIPAL,ADMINISTRACIÓN,99,POSGRADO,26
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-SEDE PRINCIPAL,GERENCIA DE LA EDUCACIÓN,99,POSGRADO,2
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-SEDE PRINCIPAL,GESTIÓN DE LA EDUCACIÓN,99,POSGRADO,5
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-SEDE PRINCIPAL,INGENIERIA CIVIL,73,ARQUITECTURA Y CONSTRUCCIÓN,780
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-SEDE PRINCIPAL,PLANIFICACIÓN Y GESTIÓN DEL AMBIENTE,99,POSGRADO,6
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-SEDE PRINCIPAL,POLÍTICAS Y GESTIÓN EN SALUD,99,POSGRADO,15
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,[NO ESPECIFICADO],CONTABILIDAD Y FINANZAS,41,ADMINISTRACIÓN Y COMERCIO,4
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-HUAMACHUCO,ENFERMERIA,91,SALUD,112
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-SANTIAGO DE CHUCO,AGRONOMIA,81,AGRICULTURA,68
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,CIENCIAS BIOLOGICAS,51,CIENCIAS BIOLÓGICAS Y AFINES,356
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,INGENIERIA MECANICA,71,INGENIERÍA Y PROFESIONES AFINES,359
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,SEC.: LENGUA Y LITERATURA,12,EDUCACIÓN SECUNDARIA,199
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,SECCION EN CIENCIAS SOCIALES,99,POSGRADO,45
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,TRABAJO SOCIAL,92,BIENESTAR,258
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-VALLE JEQUETEPEQUE,CONTABILIDAD Y FINANZAS,41,ADMINISTRACIÓN Y COMERCIO,233
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],CIENCIAS DE LOS ALIMENTOS,91,SALUD,1
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],ECONOMIA PUBLICA,31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,4
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],EDUCACION,19,OTROS PROGRAMAS EN EDUCACIÓN,7
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],MAESTRIA PROFESIONAL EN GOBIERNO DE TECNOLOGIAS DE INFORMACION,99,POSGRADO,1
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,DOC. EN CIENCIAS DE LA SALUD,99,POSGRADO,11
